LIB_ID,LIB_NAME,FIPS_ST,FIPS_CO,COUNTY_POP,LAT,LON
DE0022-009,NORTH WILMINGTON LIBRARY,10,3,549233,39.758262,-75.527522
DE0023-002,BRIDGEVILLE PUBLIC LIBRARY,10,5,206445,38.736125,-75.601878
DE0026-002,CORBIT-CALLOWAY MEMORIAL LIBRARY,10,3,549233,39.454694,-75.655652
DE0027-002,DELAWARE CITY PUBLIC LIBRARY,10,3,549233,39.571461,-75.592415
DE0028-002,DELMAR PUBLIC LIBRARY,10,5,206445,38.4569992,-75.5742179
DE0029-002,DOVER PUBLIC LIBRARY,10,1,169562,39.1652987,-75.5079103
DE0030-004,MILTON PUBLIC LIBRARY,10,5,206445,38.7786244,-75.3110056
DE0030-005,SUSSEX COUNTY BOOKMOBILE,10,5,206445,38.680838,-75.394773
DE0030-006,GREENWOOD PUBLIC LIBRARY,10,5,206445,38.806304,-75.592072
DE0030-007,SOUTH COASTAL PUBLIC LIBRARY,10,5,206445,38.5369167,-75.0619882
DE0032-004,KENT COUNTY PUBLIC LIBRARY,10,1,169562,39.080051,-75.55067
DE0032-005,KENT COUNTY BOOKMOBILE,10,1,169562,39.080051,-75.55067
DE0046-002,APPOQUINIMINK COMMUNITY LIBRARY,10,3,549233,39.455932,-75.718703
DE0046-003,BEAR PUBLIC LIBRARY,10,3,549233,39.6356948,-75.6607769
DE0046-004,KIRKWOOD HIGHWAY PUBLIC LIBRARY,10,3,549233,39.710858,-75.679429
DE0046-005,HOCKESSIN PUBLIC LIBRARY,10,3,549233,39.787865,-75.70252
DE0046-006,CLAYMONT PUBLIC LIBRARY,10,3,549233,39.8026751,-75.4640736
DE0046-007,BRANDYWINE HUNDRED LIBRARY,10,3,549233,39.796366,-75.526082
DE0046-008,NEWARK FREE LIBRARY,10,3,549233,39.683039,-75.73656
DE0046-009,ELSMERE PUBLIC LIBRARY,10,3,549233,39.740179,-75.603138
DE0022-010,WOODLAWN LIBRARY,10,3,549233,39.754194,-75.571736
FL0001-002,MARION COUNTY PUBLIC LIBRARY HEADQUARTERS-OCALA,12,83,336159,29.1886899,-82.1002097
FL0001-005,BELLEVIEW PUBLIC LIBRARY,12,83,336159,29.0282844,-82.0655603
FL0001-008,DUNNELLON LIBRARY,12,83,336159,29.057762,-82.457601
FL0001-009,FOREST PUBLIC LIBRARY,12,83,336159,29.1776141,-81.8926986
FL0001-012,REDDICK PUBLIC LIBRARY,12,83,336159,29.3691147,-82.1975382
FL0001-013,COMMUNITY BOOKMOBILE,12,83,336159,29.1886899,-82.1002097
FL0001-014,FORT MCCOY PUBLIC LIBRARY,12,83,336159,29.362815,-81.967303
FL0001-015,MARION OAKS PUBLIC LIBRARY,12,83,336159,29.005512,-82.17706
FL0001-016,FREEDOM PUBLIC LIBRARY,12,83,336159,29.084685,-82.216863
FL0001-017,MARION BOOKMOBILE,12,83,336159,29.1886899,-82.1002097
FL0003-002,MAIN LIBRARY,12,31,887322,30.329172,-81.658699
FL0003-003,MANDARIN REGIONAL BRANCH,12,31,887322,30.205015,-81.620619
FL0003-004,BEACHES REGIONAL BRANCH,12,31,887322,30.319568,-81.397602
FL0003-005,WILLOWBRANCH BRANCH,12,31,887322,30.306744,-81.698241
FL0003-007,WESTBROOK BRANCH,12,31,887322,30.336641,-81.714503
FL0003-008,CHARLES WEBB WESCONNETT REGIONAL BRANCH,12,31,887322,30.248362,-81.756991
FL0003-011,REGENCY SQUARE REGIONAL BRANCH,12,31,887322,30.326302,-81.542648
FL0003-012,BRADHAM BROOKS NORTHWEST BRANCH,12,31,887322,30.386883,-81.686221
